,acc,auc,modalities,y_pred_all,y_true_all
0,0.6842105263157895,0.6801075268817205,"EEG-Stim,EEG-Cue,Pupil","[ 0.5032688   0.50560807  0.50498179  0.50429698  0.50364852  0.50543855
  0.50554996  0.50645914  0.50153791  0.50109886  0.53879652  0.60264598
  0.6046435   0.5209245   0.5375655   0.62574378  0.4907083   0.5428432
  0.30782136  0.38847586  0.49988973  0.50069847  0.50056666  0.50016345
  0.49763305  0.49945863  0.49656792  0.4952673   0.49351984  0.49482253
  0.57857132  0.46603703  0.56091635  0.48914512  0.5316574   0.4491821
  0.57166441  0.43260865  0.55086478  0.48996455  0.80951341  0.71912116
  0.6688036   0.9247261   0.5544756   0.5485026   0.80233488  0.84249738
  0.3328192   0.14895385  0.65951028  0.67976322  0.61984881  0.47112299
  0.51576621  0.27859071  0.41232457  0.08265929  0.39035833  0.63439136
  0.86106656  0.73868463  0.76564226  0.89279218  0.78978421  0.61093979
  0.61702679  0.60709484  0.40050091  0.32109146  0.43488192  0.39150367
  0.40411957  0.23988239  0.41666675  0.29148156  0.31273069  0.49747815
  0.49751634  0.49762906  0.49668383  0.4994116   0.49898638  0.49620683
  0.49468723  0.49602232  0.50238937  0.50005761  0.50277621  0.50559652
  0.49899642  0.50572313  0.50325775  0.50191528  0.5013735 ]","[0 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 1 1 1 1
 0 0 0 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 0 0 0 1 1 1 1 1 1 1 0 0 1 1 1 1 0
 0 0 0 0 1 1 1 1 1 0 0 0 0 0 1 1 1 1 1 1 0]"
1,0.8404255319148937,0.8410526315789473,"EEG-Stim,EEG-Cue,Pupil","[ 0.74657451  0.79692981  0.6360364   0.75058777  0.74918448  0.86553337
  0.61767452  0.61429739  0.30355824  0.68458229  0.25716466  0.69127239
  0.47729588  0.55710981  0.70453507  0.61341775  0.63317142  0.76730215
  0.42299089  0.10970896  0.88015159  0.81698009  0.49532465  0.38644845
  0.75582374  0.70793492  0.59292771  0.41854406  0.4486474   0.37537548
  0.63788166  0.33123729  0.61529498  0.45747767  0.82328297  0.50282905
  0.61784085  0.04240592  0.22459887  0.1100252   0.55076051  0.54211404
  0.5938246   0.55075583  0.58025853  0.55042891  0.55244781  0.55256996
  0.39512879  0.6572502   0.57131343  0.73972482  0.68081524  0.61095092
  0.38227546  0.61265136  0.19050297  0.20825852  0.71230049  0.62836041
  0.93354343  0.71772459  0.88371531  0.85029602  0.80008127  0.88288869
  0.29527318  0.88113326  0.88554477  0.98686608  0.39681754  0.90916339
  0.90461609  0.02386609  0.15036177  0.18848846  0.45158933  0.570673
  0.52659423  0.35935344  0.69950739  0.63518432  0.63805454  0.10618576
  0.17233854  0.85265707  0.87376905  0.71464492  0.79478704  0.73380656
  0.6201017   0.62164107  0.80981218  0.95640335]","[1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1
 0 0 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0
 0 0 1 1 1 1 1 1 0 0 0 1 1 1 1 1 1 1 1 0]"
2,0.7857142857142857,0.7961876832844574,"EEG-Stim,EEG-Cue,Pupil","[ 0.35762471  0.38158613  0.33111789  0.36407089  0.37265168  0.26161385
  0.21420594  0.35389685  0.29200779  0.83397291  0.63799623  0.75652423
  0.85330783  0.85488822  0.67232821  0.51365362  0.61835549  0.60010608
  0.54089833  0.74361486  0.53064183  0.58439136  0.67117304  0.86301399
  0.6598892   0.32534046  0.17039141  0.65980486  0.89351888  0.55757087
  0.35551225  0.53747862  0.70868431  0.61580116  0.36613912  0.22560707
  0.54480236  0.79661683  0.83738863  0.86494928  0.81175568  0.48024703
  0.55938616  0.06664433  0.65100759  0.85975696  0.62634693  0.84870621
  0.82248781  0.8106827   0.76624037  0.63633431  0.77575774  0.39091873
  0.86136608  0.62569358  0.82081575  0.58594734  0.67058615  0.29547517
  0.4180371   0.43995665  0.39459338  0.48260482  0.36831528  0.32963349
  0.36916472  0.29161566  0.81379234  0.56535967  0.58307336  0.35431169
  0.46539857  0.68123183  0.17700195  0.1073099   0.55319287  0.56161474
  0.56455582  0.5430874   0.54604393  0.66969403  0.46338849  0.3764855 ]","[1 1 1 1 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 0 1
 1 1 1 1 1 0 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 0 1 1 1 1 0 0 0 0 1 1 1 1 1 0
 0 0 1 1 1 1 1 1 0 0]"
3,0.7611940298507462,0.7817647058823529,"EEG-Stim,EEG-Cue,Pupil","[  4.07467704e-01   7.22285450e-01   6.16774977e-01   5.74116995e-01
   8.30031097e-02   1.30952420e-01   5.34821295e-01   9.99727068e-01
   9.42162602e-01   6.17865715e-01   9.72055633e-01   9.97265183e-01
   9.09623826e-01   4.51876738e-04   9.93892797e-01   9.99145267e-01
   9.91381903e-01   1.12433292e-04   9.99999916e-01   6.23186892e-01
   9.99910037e-01   5.52324085e-01   4.74136951e-01   8.66397838e-01
   4.85839498e-01   7.31798670e-01   7.85441678e-01   1.53940035e-01
   6.25896302e-01   7.57698143e-01   3.65937426e-01   5.37111401e-01
   1.91801070e-01   5.42052110e-01   2.28733325e-01   3.79526759e-01
   4.78111467e-01   3.98042248e-01   6.20668928e-01   2.42634112e-01
   4.00912836e-01   3.85654193e-01   7.57725223e-01   3.53053227e-01
   5.30429076e-01   2.84978540e-01   4.56693426e-02   4.55150970e-02
   1.42658176e-01   9.99999890e-01   9.99730140e-01   9.99849231e-01
   9.99999404e-01   7.00907612e-01   9.93634917e-01   7.56319204e-01
   4.03162535e-01   9.83134205e-01   9.96352252e-01   1.67552809e-02
   1.01925929e-01   4.99815026e-01   5.02122357e-01   5.03487713e-01
   5.00055535e-01   5.05037118e-01   4.98349483e-01]","[1 1 1 1 0 0 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1
 1 1 0 0 0 1 1 1 1 0 0 0 1 1 1 1 0 0 1 1 1 1 0 0 1 1 1 1 1 0]"
4,0.6181818181818182,0.7857142857142857,"EEG-Stim,EEG-Cue,Pupil","[ 0.5061518   0.50143524  0.50152674  0.49704358  0.49461431  0.49849255
  0.50447025  0.50323564  0.49435229  0.49629329  0.50217899  0.48716501
  0.50562979  0.49791363  0.50252853  0.49766495  0.50714806  0.50314012
  0.51017722  0.50550221  0.50356422  0.50486315  0.50612882  0.5047431
  0.49952423  0.50115596  0.49883855  0.49999038  0.50039496  0.49869625
  0.02061343  0.12989833  0.00471684  0.23730275  0.20266612  0.48446756
  0.48884277  0.48185083  0.47419434  0.48102051  0.50130687  0.50065959
  0.49983758  0.50081211  0.49924908  0.50021325  0.49925078  0.50063343
  0.5005675   0.50007004  0.49656284  0.50162865  0.51305555  0.50256716
  0.49532809]","[1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0 0 1 1
 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1]"
0,0.6947368421052632,0.6952590420332356,"EEG-Stim,EEG-Cue,Pupil,RT","[  5.86917030e-01   6.78144975e-01   6.41610064e-01   6.29794429e-01
   6.08874217e-01   6.72695582e-01   6.75065647e-01   6.97693194e-01
   5.24380786e-01   4.93486020e-01   5.44139039e-01   9.99999969e-01
   9.99991314e-01   6.03502369e-01   1.59805104e-01   9.99999818e-01
   7.08565710e-03   6.19974263e-01   4.03510096e-02   5.54663678e-05
   4.99877009e-01   5.00704319e-01   5.00569850e-01   5.00131419e-01
   4.97626620e-01   4.99460759e-01   4.96552921e-01   4.95221306e-01
   4.93524070e-01   4.94823941e-01   5.78627944e-01   4.65181254e-01
   5.60497867e-01   4.89219566e-01   5.32191069e-01   4.48668383e-01
   5.71967574e-01   4.33852012e-01   5.50288263e-01   4.89863018e-01
   6.04735761e-01   5.77402707e-01   5.59964102e-01   6.78687354e-01
   5.14692764e-01   5.12416300e-01   5.90805991e-01   6.01251514e-01
   4.16896512e-01   3.83994045e-01   5.95050436e-01   5.72365307e-01
   5.41732051e-01   4.71304034e-01   5.03704040e-01   4.52534285e-01
   4.32655551e-01   3.00335843e-01   4.16142910e-01   5.03003011e-01
   5.04470961e-01   5.02025671e-01   5.03758990e-01   5.05072685e-01
   5.03572048e-01   5.03164833e-01   5.01788682e-01   5.01412091e-01
   3.38530869e-01   1.78051201e-01   5.64182551e-01   3.14592049e-01
   4.06593335e-01   8.26784891e-02   5.65841778e-01   1.73677603e-01
   2.28472867e-01   4.83796405e-01   4.84590339e-01   4.85307402e-01
   4.79179277e-01   4.98766414e-01   4.94851061e-01   4.74518894e-01
   4.64368041e-01   4.73127991e-01   6.19772197e-01   1.57976627e-01
   7.59867145e-01   8.77782898e-01   2.79085096e-01   8.90888664e-01
   6.42768089e-01   7.26386042e-01   6.55594501e-01]","[0 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 1 1 1 1
 0 0 0 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 0 0 0 1 1 1 1 1 1 1 0 0 1 1 1 1 0
 0 0 0 0 1 1 1 1 1 0 0 0 0 0 1 1 1 1 1 1 0]"
1,0.8617021276595744,0.8543859649122807,"EEG-Stim,EEG-Cue,Pupil,RT","[ 0.75332121  0.79054853  0.62768938  0.77577529  0.73072618  0.87653953
  0.60881923  0.67211076  0.26114228  0.68843541  0.28938006  0.68156469
  0.47667732  0.57764917  0.69542587  0.58864782  0.63944713  0.72112546
  0.48536742  0.08909188  0.8589648   0.86220311  0.55346357  0.41041753
  0.73365611  0.65681934  0.57742806  0.41956145  0.47260807  0.36676768
  0.59856011  0.28030099  0.6165049   0.47175662  0.84774168  0.52078881
  0.62328753  0.04513563  0.20384613  0.13636757  0.56767256  0.65077202
  0.7483788   0.63912523  0.72013213  0.69709086  0.7524346   0.58664885
  0.30514846  0.67621879  0.59018504  0.7356094   0.62585066  0.69082896
  0.36689694  0.63086886  0.16530111  0.1808873   0.75054538  0.65875756
  0.9153417   0.7148819   0.86208822  0.85704806  0.79017358  0.8725283
  0.25296431  0.65306723  0.55236657  0.81930723  0.32685929  0.64886449
  0.79699192  0.12284669  0.06274794  0.24261321  0.52303071  0.5988036
  0.53604295  0.33174877  0.67547194  0.64479156  0.59867274  0.08891232
  0.14769155  0.86079665  0.88510471  0.77068675  0.76130119  0.721431
  0.63683718  0.61738889  0.82439204  0.95673945]","[1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1
 0 0 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0
 0 0 1 1 1 1 1 1 0 0 0 1 1 1 1 1 1 1 1 0]"
2,0.7619047619047619,0.7800586510263929,"EEG-Stim,EEG-Cue,Pupil,RT","[ 0.3598796   0.38253262  0.32971287  0.37267002  0.36716385  0.25584318
  0.20425538  0.35674355  0.29883249  0.8438909   0.59243383  0.7563226
  0.84271117  0.85773576  0.67813091  0.49592128  0.64519856  0.60162146
  0.54304191  0.6014431   0.49387227  0.54425099  0.59444483  0.65738898
  0.52317372  0.43218595  0.41028513  0.67823625  0.89473558  0.57011702
  0.36197457  0.52591424  0.720987    0.62736891  0.36066244  0.22832196
  0.55813568  0.79842241  0.84495791  0.87233236  0.80027014  0.48900325
  0.54378318  0.06406413  0.60870076  0.86027216  0.63755076  0.84934855
  0.82298933  0.80508966  0.77198309  0.59832702  0.60240495  0.46790074
  0.62090222  0.53488525  0.59198898  0.53834675  0.54924315  0.42267609
  0.4034163   0.4435292   0.39148622  0.48732058  0.36732997  0.31195125
  0.35882861  0.29147303  0.79075501  0.56771569  0.58124644  0.3597062
  0.4814239   0.70025713  0.19182403  0.10964417  0.55616441  0.55137487
  0.56461931  0.54750938  0.54797501  0.67860344  0.45760263  0.3749554 ]","[1 1 1 1 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 0 1
 1 1 1 1 1 0 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 0 1 1 1 1 0 0 0 0 1 1 1 1 1 0
 0 0 1 1 1 1 1 1 0 0]"
3,0.7611940298507462,0.7817647058823529,"EEG-Stim,EEG-Cue,Pupil,RT","[  3.67302375e-01   8.95319945e-01   8.30346646e-01   6.78346591e-01
   2.14928305e-02   5.60731617e-02   6.39921215e-01   9.99995401e-01
   9.80394265e-01   5.01291205e-01   9.93851306e-01   9.99817757e-01
   9.73068721e-01   1.56085992e-05   9.77650974e-01   9.94811327e-01
   9.74468453e-01   1.25376227e-03   9.99996419e-01   6.11043347e-01
   9.98853602e-01   5.03267556e-01   4.93589814e-01   5.33070254e-01
   4.97790730e-01   5.13539664e-01   5.12903125e-01   4.80222206e-01
   6.59676243e-01   7.67153073e-01   3.48204332e-01   5.47323766e-01
   1.76484843e-01   5.20497765e-01   2.41968350e-01   2.14335880e-01
   4.82117423e-01   3.17051148e-01   8.38628000e-01   3.27768019e-02
   2.46500680e-01   2.42052699e-01   5.75311538e-01   4.21544154e-01
   4.79879072e-01   4.08975845e-01   2.75916547e-01   2.55410397e-01
   3.19675080e-01   9.99997581e-01   9.98858142e-01   9.98917268e-01
   9.99991110e-01   5.72100742e-01   9.73602964e-01   6.24501765e-01
   4.77698334e-01   9.20025322e-01   9.72552978e-01   6.61314075e-02
   2.34003140e-01   9.66605628e-01   9.93664349e-01   9.88295573e-01
   7.12512222e-01   9.97310099e-01   4.78164027e-01]","[1 1 1 1 0 0 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1
 1 1 0 0 0 1 1 1 1 0 0 0 1 1 1 1 0 0 1 1 1 1 0 0 1 1 1 1 1 0]"
4,0.6363636363636364,0.7959183673469388,"EEG-Stim,EEG-Cue,Pupil,RT","[ 0.5007953   0.50023866  0.50023316  0.4995861   0.49926558  0.4998231
  0.50439271  0.50255991  0.49442488  0.49647776  0.50246545  0.48677767
  0.50515545  0.49747166  0.50190713  0.49828177  0.50778169  0.50331166
  0.51001071  0.50520784  0.50313783  0.50548369  0.50654214  0.50493402
  0.49629085  0.50823099  0.49160144  0.50018479  0.50276343  0.49003875
  0.36250885  0.37979982  0.33878281  0.39410641  0.38343017  0.42299683
  0.44840918  0.42092018  0.36745381  0.40765681  0.50913522  0.50536564
  0.49934922  0.5060407   0.49465951  0.50025827  0.4992232   0.50067127
  0.50054765  0.50009078  0.49623303  0.50194008  0.51254541  0.5022575
  0.49449621]","[1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0 0 1 1
 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1]"
0,0.7052631578947368,0.689149560117302,"EEG-Stim,EEG-Cue,Pupil,HR","[ 0.58599233  0.67780061  0.64255434  0.63522319  0.60792009  0.67389178
  0.67767192  0.70226666  0.53011049  0.49495044  0.5055436   0.51594257
  0.52069956  0.50300576  0.51058498  0.52537853  0.50135935  0.50954311
  0.46497761  0.48220196  0.54701218  0.55906386  0.58152028  0.55313434
  0.45747824  0.54487127  0.40383055  0.35275236  0.2922898   0.34901955
  0.76736948  0.35697134  0.76137243  0.60057922  0.62740044  0.38096729
  0.75268563  0.47323231  0.70420798  0.59809299  0.606688    0.56939286
  0.56091196  0.68067736  0.51892529  0.5113778   0.5942154   0.60100551
  0.41127257  0.38500322  0.59427734  0.57111891  0.54417089  0.465823
  0.50629806  0.45666413  0.43624347  0.29757058  0.42054498  0.56854541
  0.64346825  0.55933237  0.61290233  0.67206387  0.61760072  0.57654969
  0.53363057  0.51620658  0.49582943  0.49368475  0.49635516  0.4954466
  0.49564326  0.49093276  0.49546866  0.49255798  0.49293924  0.49751968
  0.49744509  0.4975684   0.49674895  0.49941304  0.49912206  0.49609902
  0.49489657  0.49609863  0.50239768  0.50002973  0.50281638  0.50555979
  0.49897353  0.50572035  0.50326629  0.50196075  0.50127202]","[0 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 1 1 1 1
 0 0 0 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 0 0 0 1 1 1 1 1 1 1 0 0 1 1 1 1 0
 0 0 0 0 1 1 1 1 1 0 0 0 0 0 1 1 1 1 1 1 0]"
1,0.8404255319148937,0.8410526315789473,"EEG-Stim,EEG-Cue,Pupil,HR","[ 0.7464245   0.79320842  0.6332279   0.75406673  0.75002503  0.8657765
  0.61585844  0.61270301  0.30732697  0.68405608  0.2593699   0.69382588
  0.47827246  0.56122522  0.70732144  0.60420945  0.63411666  0.77087966
  0.41698602  0.10922937  0.88018304  0.81697013  0.49526141  0.38645592
  0.75578056  0.70791216  0.59282535  0.41851062  0.44866681  0.37526752
  0.63104001  0.32952229  0.62146045  0.45813804  0.82469161  0.50244175
  0.62395891  0.04150839  0.22669231  0.11109493  0.58016505  0.64429976
  0.68292744  0.6665241   0.71198265  0.71524618  0.74733194  0.66036718
  0.28075188  0.65745189  0.5716596   0.73964768  0.68010848  0.61084127
  0.38155124  0.61260558  0.19021713  0.20836808  0.70417092  0.62999241
  0.93328475  0.71812823  0.88123615  0.84993392  0.79653306  0.87757632
  0.30905974  0.61636457  0.63658015  0.8121179   0.32086021  0.68105521
  0.68661026  0.11842652  0.08157637  0.22617658  0.44716108  0.57481516
  0.52087947  0.3595596   0.6972204   0.63894753  0.63341971  0.10603248
  0.1728277   0.85165938  0.87599105  0.71125278  0.78651662  0.73417991
  0.62688017  0.62755886  0.80738444  0.95742695]","[1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1
 0 0 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0
 0 0 1 1 1 1 1 1 0 0 0 1 1 1 1 1 1 1 1 0]"
2,0.7857142857142857,0.7961876832844574,"EEG-Stim,EEG-Cue,Pupil,HR","[ 0.35591052  0.38348218  0.33393083  0.36161519  0.37423491  0.26754587
  0.21275641  0.34816788  0.29237861  0.97829295  0.54873144  0.85866635
  0.96865737  0.97140453  0.78267249  0.54680334  0.8465041   0.55920378
  0.50287738  0.50290311  0.50089621  0.50162648  0.50356539  0.50424439
  0.50118631  0.49940339  0.49911839  0.65971688  0.89510807  0.56073275
  0.35127331  0.54891573  0.71448904  0.5989811   0.36747488  0.21940094
  0.5437835   0.79672659  0.83381537  0.86239419  0.81338282  0.4765745
  0.56025948  0.06683312  0.64836387  0.86432781  0.62101588  0.84408364
  0.82510091  0.80935615  0.77325261  0.63398732  0.6122738   0.47283534
  0.61863161  0.53569284  0.57584816  0.52567434  0.52401679  0.42686877
  0.41836222  0.439058    0.39046905  0.48237639  0.36634982  0.3254541
  0.3704721   0.2900623   0.81353621  0.56375277  0.57603834  0.3599871
  0.47161517  0.68124022  0.17910257  0.10773505  0.54778684  0.56614062
  0.56230005  0.54122182  0.54396825  0.6729977   0.46701892  0.3749125 ]","[1 1 1 1 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 0 1
 1 1 1 1 1 0 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 0 1 1 1 1 0 0 0 0 1 1 1 1 1 0
 0 0 1 1 1 1 1 1 0 0]"
3,0.8059701492537313,0.8117647058823529,"EEG-Stim,EEG-Cue,Pupil,HR","[ 0.40049478  0.90387895  0.79494473  0.63026265  0.01860176  0.0527524
  0.62161282  0.88529501  0.7618913   0.55327607  0.64798347  0.80467798
  0.57853235  0.07998295  0.91603233  0.97182487  0.9701389   0.01803051
  0.99986428  0.66872658  0.98855117  0.63337363  0.7112149   0.97618816
  0.54688683  0.92175623  0.96403183  0.03804584  0.79471526  0.84560494
  0.29476551  0.79592239  0.02927624  0.62547331  0.11000232  0.22388247
  0.49080507  0.31211659  0.84031729  0.03074024  0.23417575  0.23286445
  0.77388264  0.37395151  0.52608472  0.2780263   0.04777987  0.05185626
  0.14100492  0.99999719  0.99821459  0.99895484  0.99997935  0.76927599
  0.93770546  0.82031473  0.39362396  0.98433947  0.99431205  0.03160153
  0.05654044  0.84163572  0.95665462  0.9553768   0.60338932  0.9791999
  0.3412685 ]","[1 1 1 1 0 0 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1
 1 1 0 0 0 1 1 1 1 0 0 0 1 1 1 1 0 0 1 1 1 1 0 0 1 1 1 1 1 0]"
